Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
200,15,15,0.99000,147,1.00000,1.00000,1.00000,1.00000,834.96367s,74,0.94505,0.92958,1.00000,0.96350,697.96809s,111,0.89610,0.93590,0.79348,0.85882,1402.03254s
200,15,18,0.97000,108,1.00000,1.00000,1.00000,1.00000,1153.11516s,18,0.90110,0.89041,0.98485,0.93525,921.74325s,84,0.87879,0.94444,0.73913,0.82927,1948.32353s
200,15,18,0.98000,124,1.00000,1.00000,1.00000,1.00000,1145.42750s,39,0.93407,0.91667,1.00000,0.95652,931.14166s,91,0.87446,0.95652,0.71739,0.81988,1921.67205s
200,15,18,0.99000,146,1.00000,1.00000,1.00000,1.00000,1176.13686s,75,0.94505,0.92958,1.00000,0.96350,989.55413s,111,0.89610,0.93590,0.79348,0.85882,1961.89053s
200,20,3,0.97000,107,1.00000,1.00000,1.00000,1.00000,136.63693s,18,0.90110,0.89041,0.98485,0.93525,47.10609s,89,0.89177,0.95890,0.76087,0.84848,282.51275s
200,20,3,0.98000,123,1.00000,1.00000,1.00000,1.00000,149.34523s,40,0.93407,0.91667,1.00000,0.95652,70.65452s,94,0.86580,0.95522,0.69565,0.80503,289.76018s
200,20,3,0.99000,145,1.00000,1.00000,1.00000,1.00000,158.17796s,77,0.94505,0.92958,1.00000,0.96350,122.37886s,112,0.89610,0.93590,0.79348,0.85882,304.53444s
200,20,6,0.97000,108,1.00000,1.00000,1.00000,1.00000,250.39461s,18,0.90110,0.89041,0.98485,0.93525,143.80159s,94,0.87879,0.94444,0.73913,0.82927,478.53969s
200,20,6,0.98000,123,1.00000,1.00000,1.00000,1.00000,263.44019s,39,0.93407,0.91667,1.00000,0.95652,167.37722s,92,0.86580,0.95522,0.69565,0.80503,474.98173s
200,20,6,0.99000,146,1.00000,1.00000,1.00000,1.00000,271.90741s,75,0.94505,0.92958,1.00000,0.96350,219.08999s,111,0.89610,0.93590,0.79348,0.85882,490.63382s
200,20,9,0.97000,107,1.00000,1.00000,1.00000,1.00000,456.21653s,18,0.90110,0.89041,0.98485,0.93525,310.28624s,91,0.88312,0.95775,0.73913,0.83436,798.87260s
200,20,9,0.98000,123,1.00000,1.00000,1.00000,1.00000,466.68509s,39,0.93407,0.91667,1.00000,0.95652,335.98788s,92,0.86580,0.95522,0.69565,0.80503,804.99209s
200,20,9,0.99000,146,1.00000,1.00000,1.00000,1.00000,478.91316s,75,0.94505,0.92958,1.00000,0.96350,387.70912s,111,0.89610,0.93590,0.79348,0.85882,816.98583s
200,20,12,0.97000,107,1.00000,1.00000,1.00000,1.00000,729.94643s,18,0.90110,0.89041,0.98485,0.93525,550.45473s,83,0.87879,0.94444,0.73913,0.82927,1268.17914s
200,20,12,0.98000,123,1.00000,1.00000,1.00000,1.00000,737.53583s,39,0.93407,0.91667,1.00000,0.95652,576.87704s,92,0.86580,0.95522,0.69565,0.80503,1271.42040s
200,20,12,0.99000,147,1.00000,1.00000,1.00000,1.00000,748.57504s,75,0.94505,0.92958,1.00000,0.96350,628.92016s,111,0.89610,0.93590,0.79348,0.85882,1284.50745s
200,20,15,0.97000,107,1.00000,1.00000,1.00000,1.00000,1107.49976s,18,0.90110,0.89041,0.98485,0.93525,870.23010s,97,0.87446,0.97015,0.70652,0.81761,1892.48762s
200,20,15,0.98000,123,1.00000,1.00000,1.00000,1.00000,1110.08317s,39,0.93407,0.91667,1.00000,0.95652,893.33533s,92,0.86580,0.95522,0.69565,0.80503,1880.44297s
200,20,15,0.99000,147,1.00000,1.00000,1.00000,1.00000,1109.43951s,75,0.95604,0.95588,0.98485,0.97015,937.41905s,111,0.89610,0.93590,0.79348,0.85882,1884.17514s
200,20,18,0.97000,108,1.00000,1.00000,1.00000,1.00000,1519.86510s,18,0.90110,0.89041,0.98485,0.93525,1226.81935s,84,0.87879,0.94444,0.73913,0.82927,2619.90514s
200,20,18,0.98000,124,1.00000,1.00000,1.00000,1.00000,1573.29822s,39,0.93407,0.91667,1.00000,0.95652,1296.13452s,91,0.87446,0.95652,0.71739,0.81988,2643.10476s
200,20,18,0.99000,146,1.00000,1.00000,1.00000,1.00000,1563.05590s,75,0.94505,0.92958,1.00000,0.96350,1334.11819s,111,0.89610,0.93590,0.79348,0.85882,2642.64294s
