Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,15,0.00000,0.97000,61,0.91803,0.90244,0.86047,0.88095,261.85453s,52,0.86755,0.87179,0.69388,0.77273,220.98948s,57,1.00000,1.00000,1.00000,1.00000,92.53522s
100,10,15,0.00000,0.98000,63,0.92213,0.90361,0.87209,0.88757,262.62567s,57,0.90066,0.90476,0.77551,0.83516,222.19343s,57,1.00000,1.00000,1.00000,1.00000,92.39688s
100,10,15,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,265.39884s,70,0.92715,0.95238,0.81633,0.87912,225.29114s,58,1.00000,1.00000,1.00000,1.00000,91.66733s
100,10,15,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,244.02371s,32,0.85430,0.84615,0.67347,0.75000,207.25987s,39,1.00000,1.00000,1.00000,1.00000,78.30306s
100,10,15,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,244.40832s,47,0.86755,0.87179,0.69388,0.77273,207.53478s,40,1.00000,1.00000,1.00000,1.00000,78.22022s
100,10,15,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,245.25834s,58,0.90728,0.90698,0.79592,0.84783,207.87419s,43,1.00000,1.00000,1.00000,1.00000,77.60472s
100,10,15,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,234.60678s,24,0.83444,0.83333,0.61224,0.70588,199.52751s,34,1.00000,1.00000,1.00000,1.00000,77.97346s
100,10,15,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,243.31437s,34,0.84768,0.86111,0.63265,0.72941,206.26621s,41,1.00000,1.00000,1.00000,1.00000,77.95986s
100,10,15,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,244.77793s,47,0.86093,0.86842,0.67347,0.75862,208.50758s,41,1.00000,1.00000,1.00000,1.00000,77.94298s
100,10,18,0.00000,0.97000,59,0.91393,0.90123,0.84884,0.87425,361.40062s,52,0.86755,0.87179,0.69388,0.77273,306.96601s,57,1.00000,1.00000,1.00000,1.00000,125.07755s
100,10,18,0.00000,0.98000,63,0.92213,0.91358,0.86047,0.88623,360.79915s,57,0.90066,0.90476,0.77551,0.83516,307.78943s,57,1.00000,1.00000,1.00000,1.00000,123.69639s
100,10,18,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,365.24468s,70,0.92715,0.95238,0.81633,0.87912,310.47305s,58,1.00000,1.00000,1.00000,1.00000,123.30184s
100,10,18,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,346.50433s,32,0.85430,0.84615,0.67347,0.75000,295.40399s,39,1.00000,1.00000,1.00000,1.00000,110.86258s
100,10,18,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,346.98715s,47,0.86755,0.87179,0.69388,0.77273,295.95901s,40,1.00000,1.00000,1.00000,1.00000,112.45855s
100,10,18,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,345.97729s,58,0.92715,0.95238,0.81633,0.87912,294.81071s,43,1.00000,1.00000,1.00000,1.00000,111.06412s
100,10,18,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,337.82284s,24,0.83444,0.83333,0.61224,0.70588,287.57583s,34,1.00000,1.00000,1.00000,1.00000,109.20152s
100,10,18,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,346.93895s,34,0.84768,0.86111,0.63265,0.72941,291.15204s,41,1.00000,1.00000,1.00000,1.00000,105.71129s
100,10,18,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,349.38363s,47,0.86093,0.86842,0.67347,0.75862,296.92739s,41,1.00000,1.00000,1.00000,1.00000,110.42624s
100,15,3,0.00000,0.97000,66,0.91393,0.90123,0.84884,0.87425,60.56934s,53,0.88742,0.90000,0.73469,0.80899,50.14337s,59,1.00000,1.00000,1.00000,1.00000,25.02741s
100,15,3,0.00000,0.98000,66,0.92213,0.91358,0.86047,0.88623,60.42922s,56,0.90066,0.90476,0.77551,0.83516,50.23723s,57,1.00000,1.00000,1.00000,1.00000,24.77090s
100,15,3,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,65.04159s,69,0.92715,0.95238,0.81633,0.87912,54.95032s,61,1.00000,1.00000,1.00000,1.00000,26.32652s
100,15,3,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,43.52876s,31,0.85430,0.84615,0.67347,0.75000,35.38524s,39,1.00000,1.00000,1.00000,1.00000,10.14195s
100,15,3,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,44.37428s,47,0.86755,0.87179,0.69388,0.77273,36.10029s,40,1.00000,1.00000,1.00000,1.00000,10.18705s
100,15,3,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,44.73071s,57,0.91391,0.92857,0.79592,0.85714,36.21438s,43,1.00000,1.00000,1.00000,1.00000,10.27605s
100,15,3,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,28.95370s,24,0.83444,0.83333,0.61224,0.70588,25.58593s,34,1.00000,1.00000,1.00000,1.00000,10.16662s
100,15,3,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,42.73907s,33,0.84768,0.86111,0.63265,0.72941,34.06283s,41,1.00000,1.00000,1.00000,1.00000,10.08531s
100,15,3,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,44.58171s,47,0.86093,0.86842,0.67347,0.75862,36.00845s,41,1.00000,1.00000,1.00000,1.00000,10.43592s
100,15,6,0.00000,0.97000,59,0.91393,0.90123,0.84884,0.87425,98.86124s,53,0.88742,0.90000,0.73469,0.80899,82.78391s,57,1.00000,1.00000,1.00000,1.00000,37.54593s
100,15,6,0.00000,0.98000,62,0.92213,0.91358,0.86047,0.88623,99.90250s,58,0.89404,0.90244,0.75510,0.82222,84.97995s,56,1.00000,1.00000,1.00000,1.00000,37.33724s
100,15,6,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,104.34382s,70,0.92715,0.95238,0.81633,0.87912,87.73033s,58,1.00000,1.00000,1.00000,1.00000,37.39393s
100,15,6,0.20000,0.97000,38,0.87705,0.91176,0.72093,0.80519,83.51711s,32,0.85430,0.84615,0.67347,0.75000,69.32589s,39,1.00000,1.00000,1.00000,1.00000,23.16321s
100,15,6,0.20000,0.98000,44,0.88115,0.88000,0.76744,0.81988,84.73729s,47,0.86755,0.87179,0.69388,0.77273,69.32698s,40,1.00000,1.00000,1.00000,1.00000,23.28814s
100,15,6,0.20000,0.99000,59,0.89754,0.89610,0.80233,0.84663,85.79157s,58,0.92715,0.95238,0.81633,0.87912,70.40641s,43,1.00000,1.00000,1.00000,1.00000,23.15667s
100,15,6,0.50000,0.97000,22,0.83607,0.82857,0.67442,0.74359,68.18211s,24,0.83444,0.83333,0.61224,0.70588,59.26143s,34,1.00000,1.00000,1.00000,1.00000,23.24229s
100,15,6,0.50000,0.98000,36,0.86475,0.89552,0.69767,0.78431,82.64839s,34,0.84768,0.86111,0.63265,0.72941,68.18971s,41,1.00000,1.00000,1.00000,1.00000,23.26539s
100,15,6,0.50000,0.99000,45,0.88934,0.90411,0.76744,0.83019,83.94897s,47,0.86093,0.86842,0.67347,0.75862,69.41418s,41,1.00000,1.00000,1.00000,1.00000,23.29614s
100,15,9,0.00000,0.97000,60,0.91393,0.90123,0.84884,0.87425,168.36360s,53,0.88742,0.90000,0.73469,0.80899,142.25969s,57,1.00000,1.00000,1.00000,1.00000,60.54802s
100,15,9,0.00000,0.98000,63,0.92213,0.91358,0.86047,0.88623,172.15679s,58,0.89404,0.90244,0.75510,0.82222,145.02102s,58,1.00000,1.00000,1.00000,1.00000,60.73225s
100,15,9,0.00000,0.99000,80,0.91803,0.91250,0.84884,0.87952,174.31427s,70,0.92715,0.95238,0.81633,0.87912,147.35481s,58,1.00000,1.00000,1.00000,1.00000,60.50774s
