Q,I,K,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
100,10,18,0.99000,48,0.87705,0.87838,0.75581,0.81250,136.09327s,38,0.88742,0.88095,0.75510,0.81319,119.23979s,27,1.00000,1.00000,1.00000,1.00000,46.48724s
100,10,18,0.97000,17,0.82377,0.84127,0.61628,0.71141,131.59485s,21,0.85430,0.86486,0.65306,0.74419,117.89644s,24,1.00000,1.00000,1.00000,1.00000,45.09356s
100,10,18,0.98000,23,0.84016,0.82192,0.69767,0.75472,132.24600s,20,0.83444,0.80000,0.65306,0.71910,119.12830s,26,1.00000,1.00000,1.00000,1.00000,45.72034s
100,10,18,0.99000,33,0.86885,0.84615,0.76744,0.80488,135.69902s,24,0.84768,0.80952,0.69388,0.74725,119.23152s,25,1.00000,1.00000,1.00000,1.00000,46.09890s
100,10,18,0.97000,13,0.79508,0.73077,0.66279,0.69512,130.22448s,10,0.81457,0.72340,0.69388,0.70833,115.90546s,21,1.00000,1.00000,1.00000,1.00000,46.07327s
100,10,18,0.98000,13,0.81967,0.87500,0.56977,0.69014,131.73476s,20,0.85430,0.84615,0.67347,0.75000,118.48058s,21,1.00000,1.00000,1.00000,1.00000,45.88851s
100,10,18,0.99000,24,0.83607,0.81944,0.68605,0.74684,133.26991s,15,0.85430,0.82927,0.69388,0.75556,117.47513s,26,1.00000,1.00000,1.00000,1.00000,45.50700s
100,15,3,0.97000,35,0.86475,0.85333,0.74419,0.79503,15.75198s,34,0.86755,0.85366,0.71429,0.77778,13.13102s,30,1.00000,1.00000,1.00000,1.00000,4.08179s
100,15,3,0.98000,45,0.87705,0.88889,0.74419,0.81013,16.24893s,38,0.91391,0.95000,0.77551,0.85393,13.05633s,29,1.00000,1.00000,1.00000,1.00000,4.04806s
100,15,3,0.99000,47,0.87705,0.87838,0.75581,0.81250,16.65670s,38,0.88742,0.88095,0.75510,0.81319,13.25860s,27,1.00000,1.00000,1.00000,1.00000,4.01494s
100,15,3,0.97000,17,0.82377,0.84127,0.61628,0.71141,9.89244s,21,0.85430,0.86486,0.65306,0.74419,12.66265s,24,1.00000,1.00000,1.00000,1.00000,3.60616s
100,15,3,0.98000,23,0.84016,0.82192,0.69767,0.75472,15.66234s,21,0.84106,0.82051,0.65306,0.72727,13.14936s,26,1.00000,1.00000,1.00000,1.00000,3.68663s
100,15,3,0.99000,33,0.86885,0.84615,0.76744,0.80488,16.00124s,24,0.84768,0.80952,0.69388,0.74725,12.97390s,25,1.00000,1.00000,1.00000,1.00000,3.71588s
100,15,3,0.97000,13,0.79508,0.73077,0.66279,0.69512,7.94117s,10,0.81457,0.72340,0.69388,0.70833,8.52035s,21,1.00000,1.00000,1.00000,1.00000,3.65009s
100,15,3,0.98000,13,0.81967,0.87500,0.56977,0.69014,10.15141s,20,0.85430,0.84615,0.67347,0.75000,12.40201s,20,1.00000,1.00000,1.00000,1.00000,3.67297s
100,15,3,0.99000,24,0.83607,0.81944,0.68605,0.74684,15.36063s,15,0.85430,0.82927,0.69388,0.75556,12.84519s,26,1.00000,1.00000,1.00000,1.00000,3.71483s
100,15,6,0.97000,39,0.86885,0.86486,0.74419,0.80000,32.02798s,33,0.86093,0.85000,0.69388,0.76404,27.42459s,29,1.00000,1.00000,1.00000,1.00000,9.61107s
100,15,6,0.98000,44,0.87705,0.88889,0.74419,0.81013,32.08740s,37,0.91391,0.95000,0.77551,0.85393,27.10650s,30,1.00000,1.00000,1.00000,1.00000,9.49450s
100,15,6,0.99000,47,0.87705,0.87838,0.75581,0.81250,32.03108s,38,0.88742,0.88095,0.75510,0.81319,27.08116s,27,1.00000,1.00000,1.00000,1.00000,9.47110s
100,15,6,0.97000,17,0.82377,0.84127,0.61628,0.71141,25.49390s,21,0.85430,0.86486,0.65306,0.74419,26.46223s,24,1.00000,1.00000,1.00000,1.00000,8.77938s
100,15,6,0.98000,23,0.84016,0.82192,0.69767,0.75472,31.15606s,20,0.83444,0.80000,0.65306,0.71910,26.90467s,26,1.00000,1.00000,1.00000,1.00000,8.96516s
100,15,6,0.99000,33,0.86885,0.84615,0.76744,0.80488,31.46918s,24,0.84768,0.80952,0.69388,0.74725,27.20918s,25,1.00000,1.00000,1.00000,1.00000,9.04693s
100,15,6,0.97000,13,0.79508,0.73077,0.66279,0.69512,23.62193s,10,0.81457,0.72340,0.69388,0.70833,22.37596s,21,1.00000,1.00000,1.00000,1.00000,9.13114s
100,15,6,0.98000,13,0.81967,0.87500,0.56977,0.69014,25.41562s,20,0.85430,0.84615,0.67347,0.75000,26.13301s,20,1.00000,1.00000,1.00000,1.00000,9.21420s
100,15,6,0.99000,24,0.83607,0.81944,0.68605,0.74684,31.29482s,15,0.85430,0.82927,0.69388,0.75556,26.87318s,26,1.00000,1.00000,1.00000,1.00000,9.30194s
100,15,9,0.97000,39,0.86885,0.86486,0.74419,0.80000,59.02408s,31,0.86093,0.85000,0.69388,0.76404,50.99693s,29,1.00000,1.00000,1.00000,1.00000,18.95891s
100,15,9,0.98000,45,0.87705,0.88889,0.74419,0.81013,59.47813s,37,0.91391,0.95000,0.77551,0.85393,51.48819s,30,1.00000,1.00000,1.00000,1.00000,19.11613s
100,15,9,0.99000,47,0.87705,0.87838,0.75581,0.81250,59.53597s,38,0.88742,0.88095,0.75510,0.81319,51.41828s,27,1.00000,1.00000,1.00000,1.00000,19.03567s
100,15,9,0.97000,17,0.82377,0.84127,0.61628,0.71141,52.55001s,21,0.85430,0.86486,0.65306,0.74419,50.00670s,24,1.00000,1.00000,1.00000,1.00000,18.04014s
100,15,9,0.98000,23,0.84016,0.82192,0.69767,0.75472,58.76352s,20,0.83444,0.80000,0.65306,0.71910,51.35659s,26,1.00000,1.00000,1.00000,1.00000,18.42203s
100,15,9,0.99000,33,0.86885,0.84615,0.76744,0.80488,58.90346s,24,0.84768,0.80952,0.69388,0.74725,50.52936s,25,1.00000,1.00000,1.00000,1.00000,18.47017s
100,15,9,0.97000,13,0.79508,0.73077,0.66279,0.69512,48.73563s,10,0.81457,0.72340,0.69388,0.70833,45.10209s,21,1.00000,1.00000,1.00000,1.00000,18.67345s
100,15,9,0.98000,13,0.81967,0.87500,0.56977,0.69014,53.23464s,20,0.85430,0.84615,0.67347,0.75000,50.74376s,20,1.00000,1.00000,1.00000,1.00000,18.86337s
100,15,9,0.99000,24,0.83607,0.81944,0.68605,0.74684,58.11724s,15,0.85430,0.82927,0.69388,0.75556,50.67854s,26,1.00000,1.00000,1.00000,1.00000,18.55744s
100,15,12,0.97000,41,0.86475,0.85333,0.74419,0.79503,98.46636s,31,0.86093,0.85000,0.69388,0.76404,85.86311s,29,1.00000,1.00000,1.00000,1.00000,32.67415s
100,15,12,0.98000,44,0.87705,0.88889,0.74419,0.81013,98.80597s,37,0.91391,0.95000,0.77551,0.85393,85.94578s,30,1.00000,1.00000,1.00000,1.00000,32.79105s
100,15,12,0.99000,48,0.87705,0.87838,0.75581,0.81250,99.14947s,38,0.88742,0.88095,0.75510,0.81319,86.27772s,27,1.00000,1.00000,1.00000,1.00000,32.60600s
100,15,12,0.97000,17,0.82377,0.84127,0.61628,0.71141,92.47105s,21,0.85430,0.86486,0.65306,0.74419,84.74377s,24,1.00000,1.00000,1.00000,1.00000,31.95604s
100,15,12,0.98000,23,0.84016,0.82192,0.69767,0.75472,97.36766s,20,0.83444,0.80000,0.65306,0.71910,85.39529s,26,1.00000,1.00000,1.00000,1.00000,31.95513s
100,15,12,0.99000,33,0.86885,0.84615,0.76744,0.80488,97.18045s,24,0.84768,0.80952,0.69388,0.74725,84.66487s,25,1.00000,1.00000,1.00000,1.00000,31.99628s
100,15,12,0.97000,13,0.79508,0.73077,0.66279,0.69512,90.21753s,10,0.81457,0.72340,0.69388,0.70833,81.40604s,21,1.00000,1.00000,1.00000,1.00000,32.35328s
100,15,12,0.98000,13,0.81967,0.87500,0.56977,0.69014,92.07834s,20,0.85430,0.84615,0.67347,0.75000,85.05750s,20,1.00000,1.00000,1.00000,1.00000,32.34513s
100,15,12,0.99000,24,0.83607,0.81944,0.68605,0.74684,97.79792s,15,0.85430,0.82927,0.69388,0.75556,85.74432s,26,1.00000,1.00000,1.00000,1.00000,32.60358s
100,15,15,0.97000,40,0.86475,0.85333,0.74419,0.79503,149.89726s,31,0.86093,0.85000,0.69388,0.76404,131.73194s,29,1.00000,1.00000,1.00000,1.00000,50.68613s
100,15,15,0.98000,44,0.87705,0.88889,0.74419,0.81013,148.48961s,37,0.91391,0.95000,0.77551,0.85393,130.16371s,30,1.00000,1.00000,1.00000,1.00000,49.75497s
100,15,15,0.99000,47,0.87705,0.87838,0.75581,0.81250,149.75329s,38,0.88742,0.88095,0.75510,0.81319,131.27244s,28,1.00000,1.00000,1.00000,1.00000,50.33860s
100,15,15,0.97000,17,0.82377,0.84127,0.61628,0.71141,143.25634s,21,0.85430,0.86486,0.65306,0.74419,129.00450s,24,1.00000,1.00000,1.00000,1.00000,49.81101s
100,15,15,0.98000,23,0.84016,0.82192,0.69767,0.75472,147.16182s,20,0.83444,0.80000,0.65306,0.71910,128.57415s,26,1.00000,1.00000,1.00000,1.00000,49.52475s
100,15,15,0.99000,33,0.86885,0.84615,0.76744,0.80488,148.01952s,24,0.84768,0.80952,0.69388,0.74725,130.36421s,25,1.00000,1.00000,1.00000,1.00000,46.93108s
100,15,15,0.97000,13,0.79508,0.73077,0.66279,0.69512,140.49543s,10,0.81457,0.72340,0.69388,0.70833,125.64696s,21,1.00000,1.00000,1.00000,1.00000,49.63421s
100,15,15,0.98000,13,0.81967,0.87500,0.56977,0.69014,144.65327s,20,0.85430,0.84615,0.67347,0.75000,131.04372s,20,1.00000,1.00000,1.00000,1.00000,50.51582s
100,15,15,0.99000,24,0.83607,0.81944,0.68605,0.74684,148.40539s,15,0.85430,0.82927,0.69388,0.75556,131.16105s,26,1.00000,1.00000,1.00000,1.00000,50.32566s
100,15,18,0.97000,41,0.87295,0.87671,0.74419,0.80503,212.22495s,31,0.86093,0.85000,0.69388,0.76404,186.21460s,29,1.00000,1.00000,1.00000,1.00000,72.49141s
100,15,18,0.98000,41,0.87705,0.88889,0.74419,0.81013,211.28372s,37,0.91391,0.95000,0.77551,0.85393,184.85085s,30,1.00000,1.00000,1.00000,1.00000,72.01578s
100,15,18,0.99000,48,0.87705,0.87838,0.75581,0.81250,209.88079s,38,0.88742,0.88095,0.75510,0.81319,184.89716s,27,1.00000,1.00000,1.00000,1.00000,71.83626s
100,15,18,0.97000,17,0.82377,0.84127,0.61628,0.71141,205.02464s,21,0.85430,0.86486,0.65306,0.74419,183.20051s,24,1.00000,1.00000,1.00000,1.00000,71.06167s
