Q,I,K,lambda,C,#1num_cols,#1accuracy,#1precision,#1recall,#1f-score,#1time,#2num_cols,#2accuracy,#2precision,#2recall,#2f-score,#2time,#3num_cols,#3accuracy,#3precision,#3recall,#3f-score,#3time
150,10,12,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,133.80102s,7,0.75497,0.65000,0.53061,0.58427,116.46231s,32,1.00000,1.00000,1.00000,1.00000,56.13076s
150,10,12,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,152.46289s,34,0.84768,0.86111,0.63265,0.72941,132.52789s,40,1.00000,1.00000,1.00000,1.00000,56.08614s
150,10,12,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,131.72940s,2,0.67550,-nan,0.00000,-nan,115.46509s,13,0.84211,0.80000,0.66667,0.72727,53.37372s
150,10,12,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,131.69358s,2,0.67550,-nan,0.00000,-nan,114.18766s,17,1.00000,1.00000,1.00000,1.00000,53.65056s
150,10,12,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,140.74783s,18,0.83444,0.81579,0.63265,0.71264,117.78274s,29,1.00000,1.00000,1.00000,1.00000,55.83369s
150,10,15,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,218.33561s,8,0.74834,0.65714,0.46939,0.54762,190.18169s,31,1.00000,1.00000,1.00000,1.00000,84.38464s
150,10,15,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,220.10233s,23,0.82781,0.82857,0.59184,0.69048,191.36209s,39,1.00000,1.00000,1.00000,1.00000,86.41716s
150,10,15,0.00000,0.97500,57,0.89754,0.89610,0.80233,0.84663,244.29351s,57,0.89404,0.88372,0.77551,0.82609,212.60858s,43,1.00000,1.00000,1.00000,1.00000,88.29960s
150,10,15,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,207.61756s,2,0.67550,-nan,0.00000,-nan,180.30362s,17,0.94737,0.85714,1.00000,0.92308,83.16673s
150,10,15,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,209.80569s,7,0.75497,0.65000,0.53061,0.58427,182.40138s,32,1.00000,1.00000,1.00000,1.00000,86.30885s
150,10,15,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,224.73954s,34,0.84768,0.86111,0.63265,0.72941,196.42214s,40,1.00000,1.00000,1.00000,1.00000,85.43307s
150,10,15,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,207.70284s,2,0.67550,-nan,0.00000,-nan,181.50179s,14,0.89474,0.83333,0.83333,0.83333,83.70414s
150,10,15,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,209.53165s,2,0.67550,-nan,0.00000,-nan,182.62891s,17,1.00000,1.00000,1.00000,1.00000,85.48811s
150,10,15,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,217.82572s,18,0.83444,0.81579,0.63265,0.71264,184.73796s,29,1.00000,1.00000,1.00000,1.00000,86.93189s
150,10,18,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,313.16424s,8,0.74834,0.65714,0.46939,0.54762,273.45017s,30,1.00000,1.00000,1.00000,1.00000,121.23533s
150,10,18,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,317.45340s,23,0.82781,0.82857,0.59184,0.69048,276.40512s,40,1.00000,1.00000,1.00000,1.00000,123.70163s
150,10,18,0.00000,0.97500,56,0.89754,0.89610,0.80233,0.84663,333.74556s,57,0.89404,0.88372,0.77551,0.82609,291.83723s,43,1.00000,1.00000,1.00000,1.00000,122.67886s
150,10,18,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,305.18698s,2,0.67550,-nan,0.00000,-nan,266.28182s,17,0.94737,0.85714,1.00000,0.92308,122.49418s
150,10,18,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,298.62552s,7,0.75497,0.65000,0.53061,0.58427,261.21384s,32,1.00000,1.00000,1.00000,1.00000,122.30709s
150,10,18,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,322.33465s,34,0.84768,0.86111,0.63265,0.72941,280.23514s,40,1.00000,1.00000,1.00000,1.00000,124.41801s
150,10,18,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,300.29413s,2,0.67550,-nan,0.00000,-nan,261.81017s,14,0.89474,0.83333,0.83333,0.83333,120.66140s
150,10,18,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,292.13363s,2,0.67550,-nan,0.00000,-nan,261.67294s,17,1.00000,1.00000,1.00000,1.00000,120.92602s
150,10,18,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,309.45442s,18,0.83444,0.81579,0.63265,0.71264,264.50426s,30,1.00000,1.00000,1.00000,1.00000,123.15321s
150,15,3,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,15.41123s,8,0.74834,0.65714,0.46939,0.54762,13.30384s,33,1.00000,1.00000,1.00000,1.00000,9.12901s
150,15,3,0.00000,0.92500,24,0.84836,0.87692,0.66279,0.75497,18.96898s,23,0.82781,0.82857,0.59184,0.69048,16.34437s,42,1.00000,1.00000,1.00000,1.00000,11.05381s
150,15,3,0.00000,0.97500,61,0.89754,0.89610,0.80233,0.84663,63.90801s,55,0.89404,0.88372,0.77551,0.82609,53.08630s,44,1.00000,1.00000,1.00000,1.00000,11.06363s
150,15,3,0.20000,0.87500,6,0.79508,0.83333,0.52326,0.64286,14.60917s,2,0.67550,-nan,0.00000,-nan,12.30406s,18,1.00000,1.00000,1.00000,1.00000,7.68072s
150,15,3,0.20000,0.92500,14,0.81967,0.77632,0.68605,0.72840,15.67399s,7,0.75497,0.65000,0.53061,0.58427,12.82295s,31,1.00000,1.00000,1.00000,1.00000,9.62153s
150,15,3,0.20000,0.97500,35,0.89344,0.94118,0.74419,0.83117,46.76953s,34,0.84768,0.86111,0.63265,0.72941,38.50543s,40,1.00000,1.00000,1.00000,1.00000,10.34298s
150,15,3,0.50000,0.87500,2,0.64754,-nan,0.00000,-nan,14.04214s,2,0.67550,-nan,0.00000,-nan,12.22585s,12,0.89474,1.00000,0.66667,0.80000,7.24747s
150,15,3,0.50000,0.92500,8,0.81557,0.84746,0.58140,0.68966,14.75193s,2,0.67550,-nan,0.00000,-nan,12.18904s,19,0.94737,1.00000,0.83333,0.90909,8.63143s
150,15,3,0.50000,0.97500,23,0.85656,0.89231,0.67442,0.76821,28.70024s,18,0.83444,0.81579,0.63265,0.71264,16.46520s,28,1.00000,1.00000,1.00000,1.00000,10.28088s
150,15,6,0.00000,0.87500,10,0.79918,0.81356,0.55814,0.66207,53.29172s,8,0.74834,0.65714,0.46939,0.54762,46.11397s,30,1.00000,1.00000,1.00000,1.00000,22.85866s
