Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,15,15,0.20000,0.90000,10,0.42129,143.02161s,27,0.63197,129.00446s,39,0.98723,50.06358s
100,15,15,0.20000,0.95000,29,0.48341,148.08430s,34,0.66369,128.83188s,38,0.99440,49.65406s
100,15,15,0.20000,0.99000,45,0.50181,148.83665s,34,0.81766,130.12513s,40,0.99455,49.81002s
100,15,15,0.50000,0.90000,8,0.38775,140.70191s,13,0.57709,126.36229s,20,0.86764,49.54711s
100,15,15,0.50000,0.95000,27,0.46818,146.62893s,27,0.59633,127.72414s,41,0.94009,49.57191s
100,15,15,0.50000,0.99000,40,0.47899,149.02264s,34,0.75664,131.23795s,34,0.94461,50.28981s
100,15,18,0.00000,0.90000,21,0.45980,210.48801s,28,0.64809,183.86088s,32,1.00000,71.68376s
100,15,18,0.00000,0.95000,41,0.50374,209.91708s,50,0.89447,184.71101s,34,1.00000,71.42498s
100,15,18,0.00000,0.99000,45,0.50651,212.02978s,49,0.89797,186.05095s,34,1.00000,71.89318s
100,15,18,0.20000,0.90000,10,0.42129,206.75928s,27,0.64323,184.85613s,39,0.99388,71.55928s
100,15,18,0.20000,0.95000,28,0.48682,207.87456s,31,0.64157,183.35121s,40,0.99439,71.03330s
100,15,18,0.20000,0.99000,38,0.49742,211.03228s,40,0.82009,185.35196s,34,0.98976,71.23697s
100,15,18,0.50000,0.90000,8,0.38775,203.16424s,13,0.57709,182.08240s,20,0.86764,71.91195s
100,15,18,0.50000,0.95000,26,0.45669,209.23271s,26,0.59675,183.36910s,53,0.94497,71.35426s
100,15,18,0.50000,0.99000,39,0.47879,211.30964s,37,0.75862,186.98127s,46,0.96238,72.02484s
100,20,3,0.00000,0.90000,20,0.43915,12.51761s,34,0.66449,16.95492s,33,1.00000,5.63973s
100,20,3,0.00000,0.95000,40,0.50374,21.42628s,45,0.89238,17.57387s,34,1.00000,5.60241s
100,20,3,0.00000,0.99000,48,0.51033,22.03571s,47,0.89712,17.34420s,35,1.00000,5.52686s
100,20,3,0.20000,0.90000,9,0.40424,10.88643s,18,0.63274,12.62474s,34,0.97779,5.14250s
100,20,3,0.20000,0.95000,26,0.48333,20.71453s,25,0.64805,17.08703s,40,0.98268,5.04170s
100,20,3,0.20000,0.99000,42,0.49670,21.87084s,38,0.81607,18.15871s,37,0.98311,5.23827s
100,20,3,0.50000,0.90000,8,0.38775,9.49757s,11,0.57441,11.98893s,18,0.84908,4.86291s
100,20,3,0.50000,0.95000,19,0.40968,20.00505s,31,0.59562,16.46721s,39,0.93669,5.13742s
100,20,3,0.50000,0.99000,37,0.48251,21.87022s,32,0.78916,18.23626s,56,0.97877,5.28458s
100,20,6,0.00000,0.90000,21,0.45980,36.33185s,34,0.65919,35.41205s,33,1.00000,12.86731s
100,20,6,0.00000,0.95000,40,0.50374,43.00572s,45,0.89217,36.48164s,34,1.00000,13.08705s
100,20,6,0.00000,0.99000,43,0.50501,42.97206s,47,0.89675,36.53331s,32,1.00000,12.62305s
100,20,6,0.20000,0.90000,10,0.42129,34.45411s,19,0.63818,35.32215s,36,0.99422,12.01336s
100,20,6,0.20000,0.95000,29,0.49005,41.82552s,35,0.64894,35.63830s,42,0.99437,12.45388s
100,20,6,0.20000,0.99000,39,0.49282,43.09009s,39,0.84339,37.02030s,36,0.98187,12.36214s
100,20,6,0.50000,0.90000,8,0.38775,31.97502s,12,0.57531,31.50970s,20,0.86764,12.23158s
100,20,6,0.50000,0.95000,22,0.44150,41.52485s,28,0.60779,35.23424s,38,0.93108,12.40026s
100,20,6,0.50000,0.99000,39,0.48098,42.60153s,37,0.78902,36.81774s,42,0.93296,12.49213s
100,20,9,0.00000,0.90000,21,0.45980,74.79970s,30,0.66409,68.55210s,33,1.00000,25.74183s
100,20,9,0.00000,0.95000,40,0.50374,79.62123s,42,0.87159,68.91434s,33,1.00000,25.61939s
100,20,9,0.00000,0.99000,43,0.50650,80.42911s,53,0.89784,82.66718s,33,1.00000,26.05393s
100,20,9,0.20000,0.90000,10,0.42129,71.89588s,19,0.63818,67.45821s,43,0.98777,25.11421s
100,20,9,0.20000,0.95000,26,0.48411,78.73012s,31,0.80098,68.18115s,40,0.98187,25.03601s
100,20,9,0.20000,0.99000,42,0.49907,79.24421s,41,0.81979,69.93637s,33,0.98976,24.92634s
100,20,9,0.50000,0.90000,8,0.38775,68.94348s,12,0.57531,64.12547s,20,0.86764,25.16106s
100,20,9,0.50000,0.95000,25,0.46323,78.76266s,29,0.60826,67.90460s,43,0.94217,25.50074s
100,20,9,0.50000,0.99000,38,0.48501,79.51373s,35,0.78937,68.25717s,40,0.93344,24.96981s
100,20,12,0.00000,0.90000,21,0.45980,128.64685s,34,0.65137,114.72368s,32,1.00000,43.70932s
100,20,12,0.00000,0.95000,40,0.50377,132.15067s,48,0.89217,115.53445s,34,1.00000,43.84713s
100,20,12,0.00000,0.99000,49,0.51023,132.42369s,53,0.89718,128.99154s,35,1.00000,43.99810s
100,20,12,0.20000,0.90000,10,0.42129,126.10223s,25,0.64253,115.25409s,36,0.98895,43.24250s
100,20,12,0.20000,0.95000,26,0.48272,131.00392s,31,0.64053,114.17100s,43,0.99440,43.54866s
100,20,12,0.20000,0.99000,41,0.50047,133.71886s,35,0.81769,116.61365s,31,0.98981,44.12536s
100,20,12,0.50000,0.90000,8,0.38775,121.81181s,13,0.57709,110.52193s,20,0.86764,43.72834s
100,20,12,0.50000,0.95000,23,0.45442,130.96274s,29,0.59016,114.02790s,45,0.92773,43.40074s
100,20,12,0.50000,0.99000,40,0.48558,131.38167s,34,0.75713,115.56917s,41,0.93625,43.23608s
100,20,15,0.00000,0.90000,21,0.45980,199.73342s,25,0.65589,175.75969s,32,1.00000,68.65067s
100,20,15,0.00000,0.95000,40,0.50166,204.97195s,45,0.89217,178.32369s,33,1.00000,69.22753s
100,20,15,0.00000,0.99000,44,0.50680,201.82816s,48,0.89712,177.18729s,34,1.00000,67.39282s
100,20,15,0.20000,0.90000,10,0.42129,194.49618s,27,0.63197,175.80265s,39,0.98723,67.78593s
