Q,I,K,lambda,C,#1num_cols,#1r2-score,#1time,#2num_cols,#2r2-score,#2time,#3num_cols,#3r2-score,#3time
100,15,12,0.00000,0.99970,38,1.00000,10.39379s,73,0.99191,134.34367s,16,1.00000,11.75882s
100,15,12,0.20000,0.99930,14,0.98105,9.43924s,66,0.99042,115.94150s,7,0.85581,11.38057s
100,15,12,0.20000,0.99950,23,0.99990,9.87256s,58,0.98682,116.31050s,6,0.65688,11.71148s
100,15,12,0.20000,0.99970,39,0.99999,10.32801s,64,0.98987,115.08341s,23,1.00000,11.62824s
100,15,12,0.50000,0.99930,19,0.98267,9.66696s,49,0.97599,117.19591s,22,0.99984,11.44040s
100,15,12,0.50000,0.99950,21,0.99987,10.02030s,61,0.98783,117.52077s,27,1.00000,11.57781s
100,15,12,0.50000,0.99970,33,0.99996,10.38682s,52,0.98385,115.57700s,36,1.00000,12.13145s
100,15,15,0.00000,0.99930,24,1.00000,15.30969s,69,0.99136,197.37653s,4,0.83964,18.87537s
100,15,15,0.00000,0.99950,33,1.00000,15.58716s,75,0.99191,202.70892s,5,0.96228,18.58927s
100,15,15,0.00000,0.99970,40,1.00000,15.56477s,72,0.99190,199.90772s,16,1.00000,18.34776s
100,15,15,0.20000,0.99930,17,0.98526,14.73932s,59,0.98660,179.66743s,7,0.85581,17.93855s
100,15,15,0.20000,0.99950,24,0.99990,15.06502s,67,0.99057,183.00637s,9,0.91076,17.84338s
100,15,15,0.20000,0.99970,33,0.99999,15.53225s,58,0.98596,181.78569s,23,1.00000,17.88205s
100,15,15,0.50000,0.99930,20,0.98595,14.98647s,47,0.97957,182.24834s,22,0.99952,17.82063s
100,15,15,0.50000,0.99950,23,0.99995,15.22607s,50,0.98790,181.37678s,31,1.00000,18.25711s
100,15,15,0.50000,0.99970,38,0.99992,15.59596s,56,0.98796,182.80226s,38,1.00000,18.38529s
100,15,18,0.00000,0.99930,25,1.00000,21.59694s,72,0.99165,279.49055s,4,0.83964,27.30930s
100,15,18,0.00000,0.99950,34,1.00000,22.47668s,72,0.99080,280.54641s,5,0.96228,26.89619s
100,15,18,0.00000,0.99970,36,1.00000,22.14176s,73,0.99204,280.43985s,16,1.00000,27.00517s
100,15,18,0.20000,0.99930,16,0.98526,21.19457s,62,0.99034,262.33209s,8,0.57683,25.58949s
100,15,18,0.20000,0.99950,25,0.99995,21.52505s,58,0.98983,263.85292s,8,0.94680,25.26217s
100,15,18,0.20000,0.99970,39,0.99999,21.91297s,57,0.98678,263.98546s,23,1.00000,25.65330s
100,15,18,0.50000,0.99930,20,0.98389,21.35742s,43,0.97682,261.72462s,21,0.99959,25.63003s
100,15,18,0.50000,0.99950,22,0.99938,21.62113s,45,0.97913,262.29726s,27,1.00000,26.32158s
100,15,18,0.50000,0.99970,41,0.99996,21.95641s,60,0.98720,260.58573s,35,1.00000,27.34754s
100,20,3,0.00000,0.99930,23,1.00000,2.10860s,67,0.99140,30.13165s,4,0.83964,1.78592s
100,20,3,0.00000,0.99950,29,1.00000,2.49112s,72,0.99191,31.59112s,5,0.96228,1.81559s
100,20,3,0.00000,0.99970,39,1.00000,2.55491s,77,0.99191,34.04480s,15,1.00000,1.78672s
100,20,3,0.20000,0.99930,15,0.97618,1.42355s,63,0.98988,14.25567s,8,0.95653,1.41540s
100,20,3,0.20000,0.99950,23,0.99570,1.89765s,58,0.98996,14.33725s,7,0.50342,1.42284s
100,20,3,0.20000,0.99970,33,0.99999,2.35792s,55,0.98664,14.16873s,22,1.00000,1.56034s
100,20,3,0.50000,0.99930,16,0.99347,1.57155s,56,0.98277,14.14535s,18,0.99922,1.48704s
100,20,3,0.50000,0.99950,20,0.99978,1.86793s,59,0.98656,14.26301s,23,1.00000,1.68920s
100,20,3,0.50000,0.99970,39,0.99996,2.33297s,63,0.98538,14.21384s,34,1.00000,2.03549s
100,20,6,0.00000,0.99930,23,1.00000,4.22644s,61,0.99062,56.97138s,4,0.83964,4.54857s
100,20,6,0.00000,0.99950,30,1.00000,4.65771s,71,0.99059,59.59301s,6,0.96341,4.56170s
100,20,6,0.00000,0.99970,36,1.00000,4.91034s,75,0.99191,59.94420s,14,1.00000,4.61082s
100,20,6,0.20000,0.99930,14,0.99453,3.65597s,65,0.98942,41.86032s,9,0.99124,4.08079s
100,20,6,0.20000,0.99950,21,0.99990,3.90919s,58,0.99028,41.72740s,7,0.77900,4.07383s
100,20,6,0.20000,0.99970,34,0.99999,4.48858s,60,0.98662,41.31663s,23,1.00000,4.46703s
100,20,6,0.50000,0.99930,18,0.99052,3.75033s,49,0.98257,41.36719s,19,0.99986,4.22932s
100,20,6,0.50000,0.99950,21,0.99955,4.11945s,57,0.98689,41.39676s,25,1.00000,4.45285s
100,20,6,0.50000,0.99970,34,0.99996,4.50903s,65,0.98868,41.78497s,36,1.00000,4.91712s
100,20,9,0.00000,0.99930,23,1.00000,8.07491s,69,0.99129,105.76551s,4,0.83964,9.88532s
100,20,9,0.00000,0.99950,32,1.00000,8.45344s,78,0.99129,108.72947s,6,0.96991,9.19147s
100,20,9,0.00000,0.99970,36,1.00000,8.67935s,77,0.99212,107.13540s,14,1.00000,9.62498s
100,20,9,0.20000,0.99930,14,0.98105,7.55170s,63,0.99026,89.58203s,7,0.85581,8.48693s
